K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
7,0.005,5e-05,64,1,0.0006630029529333115,0.32973119616508484,3.160584
5,0.001,1e-05,128,3,0.0007664226577617228,0.3432140350341797,3.1685584
6,0.01,5e-05,128,1,0.0007143993279896677,0.3304935395717621,3.1931922
8,0.01,1e-05,32,3,0.0006366049638018012,0.31031501293182373,3.2037435
6,0.005,0.0005,64,3,0.0017026887508109212,0.5260366201400757,3.2118464
8,0.01,0.0001,32,2,0.0007855784497223794,0.34732145071029663,3.2143133
6,0.01,0.0005,32,3,0.0009196444880217314,0.3801690340042114,3.2265983
7,0.01,0.0001,64,1,0.0008173424284905195,0.36496713757514954,3.2379603
8,0.01,5e-05,32,1,0.0006482260068878531,0.31777358055114746,3.2462885
5,0.005,0.0001,64,1,0.0009133185376413167,0.3695240616798401,3.2561178
5,0.01,5e-05,64,1,0.0006854260573163629,0.3326437175273895,3.257739
6,0.01,5e-05,128,2,0.0008850340964272618,0.3708108961582184,3.2634346
7,0.005,1e-05,32,3,0.0006985014770179987,0.3305671215057373,3.2946067
8,0.01,0.0001,32,3,0.0008286114316433668,0.3651665449142456,3.3004289
7,0.01,0.0001,128,2,0.0008530539344064891,0.3499987721443176,3.3084815
7,0.01,0.0001,32,1,0.0007294381503015757,0.34167471528053284,3.3139966
6,0.01,5e-05,64,3,0.0006280645611695945,0.3065606951713562,3.319366
7,0.01,5e-05,32,1,0.0007026834064163268,0.32753831148147583,3.3395135
5,0.01,1e-05,32,1,0.0006250441074371338,0.3137790262699127,3.3652987
8,0.01,5e-05,128,2,0.0006818038527853787,0.3308757543563843,3.3702154
7,0.005,0.0005,128,3,0.0019009499810636044,0.5360628366470337,3.3856163
7,0.005,5e-05,32,3,0.0008009379380382597,0.35911956429481506,3.4134452
7,0.001,5e-05,128,3,0.0009561264887452126,0.38368767499923706,3.4250007
5,0.01,1e-05,128,2,0.000722601602319628,0.3433823585510254,3.4587831
8,0.01,0.0005,128,3,0.001603750279173255,0.5008288621902466,3.4624527
7,0.005,1e-05,128,2,0.0007594093913212419,0.34800419211387634,3.467276
6,0.01,0.0005,64,1,0.000921168364584446,0.37251779437065125,3.471179
6,0.005,1e-05,32,3,0.0006897210259921849,0.32722216844558716,3.4719903
5,0.005,0.0005,32,2,0.0011596155818551779,0.3812847435474396,3.4760935
8,0.01,1e-05,64,2,0.0006024682079441845,0.312118262052536,3.49424
7,0.005,5e-05,128,2,0.0007115334155969322,0.33069777488708496,3.503975
6,0.01,5e-05,32,3,0.0008639580919407308,0.36470919847488403,3.5044198
7,0.01,0.0001,128,3,0.0011354107409715652,0.4397830367088318,3.5047152
7,0.005,0.0005,64,2,0.0017067028675228357,0.5077796578407288,3.505695
8,0.005,1e-05,64,1,0.0005931886844336987,0.302501916885376,3.512669
6,0.005,0.0005,128,2,0.001799247576855123,0.528158962726593,3.5637975
6,0.01,1e-05,128,2,0.000590702926274389,0.29876911640167236,3.57162
5,0.005,0.0005,32,3,0.001526121748611331,0.48365870118141174,3.5856702
6,0.01,1e-05,32,1,0.0005392796010710299,0.28723615407943726,3.5880227
8,0.005,0.0005,128,1,0.0013026946689933538,0.4477202594280243,3.6093972
5,0.01,0.0005,64,1,0.0010200829710811377,0.39130884408950806,3.6173697
7,0.01,0.0005,32,1,0.0010873975697904825,0.41074684262275696,3.6193547
8,0.01,5e-05,64,3,0.0006846629548817873,0.315956711769104,3.6503031
5,0.005,5e-05,128,2,0.0006894084508530796,0.33306407928466797,3.656425
6,0.01,0.0001,32,1,0.0007091009174473584,0.33656981587409973,3.6686876
6,0.005,1e-05,32,2,0.0005751426215283573,0.3024250268936157,3.7027931
7,0.01,1e-05,128,3,0.0007911056163720787,0.34990984201431274,3.719368
8,0.01,1e-05,64,1,0.0006275187479332089,0.3166552186012268,3.7198083
